AUN,LEA Name,LEA Type,County,Race,Year,PKA,PKP,PKF,K4A,K4P,K4F,K5A,K5P,K5F,001,002,003,004,005,006,007,008,009,010,011,012,Total
126513150,MAST Community Charter School,CS,Philadelphia,Hispanic,,0,0,0,0,0,0,0,0,*,10,*,*,*,12,11,10,*,*,*,*,*,93
126513150,MAST Community Charter School,CS,Philadelphia,Multi-Racial,,0,0,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,*,0,*,32
126513150,MAST Community Charter School,CS,Philadelphia,White,,0,0,0,0,0,0,0,0,76,75,58,59,63,62,81,80,77,77,88,86,82,964
126513480,Mariana Bracetti Academy CS,CS,Philadelphia,American Indian / Alaskan Native,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,*,0,0,0,*
126513480,Mariana Bracetti Academy CS,CS,Philadelphia,Asian,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,*
126513480,Mariana Bracetti Academy CS,CS,Philadelphia,Black or African American,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,35,33,33,29,27,29,213
126513480,Mariana Bracetti Academy CS,CS,Philadelphia,Hispanic,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,150,136,134,135,120,114,923
126513480,Mariana Bracetti Academy CS,CS,Philadelphia,Multi-Racial,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,*,*,*,*,0,*,34
126513480,Mariana Bracetti Academy CS,CS,Philadelphia,Native Hawaiian or other Pacific Islander(not hispanic),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,*
126513480,Mariana Bracetti Academy CS,CS,Philadelphia,White,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,*,*,*,26
